"","X","QUD","context","item","number","quantifier","response","slide_number","trial_type","language","enjoyment","age","gender","education","comments","describe","school","classes","college","lived","years","family","level","Browser","OS","screenH","screenW","time_in_minutes","participant_id","assess"
"612",0,"many","without","dinosaurios","two","every",0.16,3,"one_slider","Español",1,"28","Male",3,"","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Chrome","Linux",851,393,3.76253333333333,612,"Yes"
"613",0,"all","with","mariposas","two","every",0.02,3,"one_slider","español",1,"21","Male",1,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",960,1707,3.08863333333333,613,"Yes"
"614",0,"all","with","ranas","four","every",0.95,3,"one_slider","castellano",2,"48","Male",4,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",1024,1280,3.17211666666667,614,"Yes"
"615",0,"all","with","leones","two","every",0.98,3,"one_slider","Español",2,"31","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",864,1536,2.42155,615,"Yes"
"617",0,"many","with","dinosaurios","two","every",0,3,"one_slider","Español",2,"46","Female",3,"Fue sencillo de hacer.","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,2.34801666666667,617,"Yes"
"618",0,"many","without","mariposas","four","every",1,3,"one_slider","español",2,"24","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,3.63415,618,"Yes"
"619",0,"many","with","ranas","two","every",0.85,3,"one_slider","Español",1,"20","Male",2,"","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",667,375,3.78151666666667,619,"Yes"
"620",0,"none","without","mariposas","four","every",0.28,3,"one_slider","Español",2,"21","Female",4,"Facil de entender y contestar a las preguntas","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",667,375,3.75681666666667,620,"Yes"
"621",0,"all","with","leones","four","every",0.31,3,"one_slider","Español",2,"21","Female",4,"Facil de entender y responder a las preguntas","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",667,375,1.6737,621,"Yes"
"625",0,"none","with","dinosaurios","two","every",0.03,3,"one_slider","Español",1,"","",-1,"Muy interesante.
Un poco truculento para los que no hablan bien español.","SpanSpan","none","no","nocollege","both8","mostlive","spaneng","native","Firefox","Windows",900,1600,3.09091666666667,625,""
"627",0,"all","with","dinosaurios","two","every",0.75,3,"one_slider","español",1,"32","Female",4,"","SpanSpan","most","yes","midsem","both8","mostlive","span","native","Chrome","Windows",1080,1920,2.17768333333333,627,"Yes"
"630",0,"none","without","dinosaurios","four","every",0,3,"one_slider","español",2,"46","Male",1,"","SpanSpan","most","yes","midsem","both8","mostlive","span","native","Chrome","Windows",1080,1920,4.27325,630,"Yes"
"631",0,"all","with","ranas","four","every",1,3,"one_slider","Español",1,"35","Male",4,"Me alegro de que la encuesta haya sido corta. Un besito en el siempre sucio.","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,3.07673333333333,631,"Yes"
"632",0,"none","with","mariposas","four","every",0.27,3,"one_slider","español",2,"26","Male",2,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,3.74251666666667,632,"Yes"
"634",0,"all","with","leones","two","every",0.99,3,"one_slider","español",1,"31","Female",4,"","SpanEng","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,5.03523333333333,634,"Yes"
"636",0,"none","without","ranas","two","every",0.98,3,"one_slider","Español",1,"21","Female",1,"","SpanSpan","most","yes","onesem","both8","mostlive","span","native","Safari","Mac",900,1440,1.9464,636,"Yes"
"637",0,"all","without","ranas","two","every",0.89,3,"one_slider","Español",1,"27","Female",4,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",896,414,4.74431666666667,637,"Yes"
"638",0,"all","without","mariposas","two","every",0.92,3,"one_slider","español",2,"50","Female",4,"Ha sido un experimento curioso e interesante, muy diferente","SpanSpan","most","","nocollege","both8","mostlive","span","native","Chrome","Windows",1050,1680,3.5266,638,"Yes"
"640",0,"none","with","ranas","four","every",0.02,3,"one_slider","Español",2,"32","Male",4,"Me gusto, pues así la persona debe de leer bien para responder correctamente.","SpanSpan","small","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,7.1333,640,"Yes"
"642",0,"all","without","leones","four","every",1,3,"one_slider","Español",2,"33","Male",4,"Las instrucciones me han resultado levemente confusas, aún así me ha parecido realmente carismática la idea de este estudio, aunque no entiendo claramente su intención. Aparte, ha sido muy justo con el pago. Gracias","SpanSpan","most","yes","","both8","mostlive","span","native","Chrome","Windows",1440,2560,3.03463333333333,642,"Yes"
"643",0,"all","without","leones","four","every",1,3,"one_slider","español",1,"30","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,2.06426666666667,643,"Yes"
"644",0,"many","with","leones","four","every",0.01,3,"one_slider","Español",1,"27","Male",3,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Firefox","Windows",1020,1813,2.37151666666667,644,"Yes"
"647",0,"many","with","leones","four","every",0.85,3,"one_slider","español",1,"34","Male",4,"creo que al formato del estudio se le escapan detalles, mejor cambiarlo","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.83348333333333,647,"Yes"
"649",0,"many","with","dinosaurios","four","every",0.99,3,"one_slider","España",2,"45","Female",1,"me gusta","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",720,1280,2.53055,649,"Yes"
"650",0,"none","without","leones","four","every",0.03,3,"one_slider","español",2,"61","Male",4,"No tengo comentarios.","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,4.66705,650,"Yes"
"651",0,"many","with","leones","four","every",0.99,3,"one_slider","español",2,"41","Male",4,"","SpanSpan","most","yes","mostsem","both8","mostlive","span","native","Chrome","Windows",1080,1920,2.45941666666667,651,"Yes"
"654",0,"all","without","ranas","four","every",0.24,3,"one_slider","español",2,"51","Male",3,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",663,1366,3.59786666666667,654,"Yes"
"655",0,"none","without","dinosaurios","two","every",0.03,3,"one_slider","Español",0,"22","Female",3,"No sé cual es el objetivo de la encuesta, pero tanto la pregunta del tiburón como la respuesta del elefante no aplican a como un nativo habla. El orden de las palabras es extraño.","SpanSpan","","noclasses","nocollege","both8","mostlive","span","native","Chrome","Linux",1280,800,5.92283333333333,655,"Yes"
"656",0,"all","with","ranas","two","every",0.06,3,"one_slider","Español",1,"21","Female",2,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","native","Firefox","Mac",900,1440,3.49533333333333,656,"Yes"
"666",0,"all","with","ranas","four","every",0.99,3,"one_slider","español",1,"33","Female",2,"","SpanEng","small","no","midsem","both8","mostlive","eng","advanced","Chrome","Windows",1200,1920,3.63721666666667,666,"Yes"
"667",0,"none","with","leones","four","every",0.21,3,"one_slider","Español",1,"23","Female",2,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Linux",760,360,2.07808333333333,667,"Yes"
"668",0,"all","without","leones","four","every",0.79,3,"one_slider","Español ",2,"32","Male",2,"","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Chrome","Linux",830,393,5.31421666666667,668,"Yes"
"673",0,"many","with","dinosaurios","four","every",0.07,3,"one_slider","Español",2,"27","Female",3,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.84483333333333,673,"Yes"
"674",0,"many","without","leones","four","every",0,3,"one_slider","español",1,"19","Female",1,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.20183333333333,674,"Yes"
"675",0,"none","with","leones","two","every",0.16,3,"one_slider","Español",2,"36","Female",3,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","spaneng","native","Chrome","Linux",846,412,6.38496666666667,675,"Yes"
"676",0,"many","without","ranas","four","every",0.02,3,"one_slider","Español",1,"23","Male",2,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Linux",720,360,2.79403333333333,676,"Yes"
"680",0,"all","without","leones","four","every",0.01,3,"one_slider","español",2,"34","Male",3,"","SpanSpan","most","yes","onesem","both8","mostlive","span","native","Firefox","Linux",768,1366,3.22376666666667,680,"Yes"
"683",0,"all","without","mariposas","four","every",0.92,3,"one_slider","Español",2,"42","Female",4,"Tarea sencilla","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Linux",640,360,2.98893333333333,683,"Yes"
"687",0,"many","without","ranas","four","every",0.81,3,"one_slider","Castellano",-1,"25","Female",4,"","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Chrome","Windows",720,1280,2.60343333333333,687,"Yes"
"693",0,"all","without","ranas","four","every",0.04,3,"one_slider","Español",1,"38","Female",4,"Es un hit simpático","SpanSpan","","noclasses","nocollege","both8","mostlive","span","native","Chrome","Linux",720,360,1.94503333333333,693,"Yes"
"694",0,"none","with","ranas","two","every",0.99,3,"one_slider","Español",2,"41","Female",1,"","SpanEng","most","noclasses","nocollege","both8","mostlive","spaneng","native","Safari","an unknown OS",1024,768,3.51158333333333,694,"Yes"
"695",0,"none","with","leones","two","every",0.88,3,"one_slider","Español",1,"30","Male",3,"","SpanSpan","mid","yes","nocollege","both8","mostlive","spaneng","native","Chrome","Linux",640,360,3.5842,695,"Yes"
"697",0,"many","with","leones","four","every",0.97,3,"one_slider","Espanol",1,"48","Female",4,"Interesante participar en algo que es en my propia lengua.","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Firefox","Linux",1080,1920,3.0321,697,"Yes"
"698",0,"many","with","leones","four","every",0.63,3,"one_slider","Español",-1,"26","Female",4,"","SpanEng","most","noclasses","nocollege","both8","mostlive","spaneng","native","Chrome","Windows",720,1280,3.63668333333333,698,"Yes"
"704",0,"all","with","dinosaurios","four","every",0.97,3,"one_slider","Español",2,"31","Female",3,"","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Linux",640,360,4.20896666666667,704,"Yes"
"705",0,"many","with","ranas","four","every",0.16,3,"one_slider","Español ",1,"18","Female",0,"","SpanSpan","most","yes","nocollege","both8","mostlive","spaneng","native","Safari","iPhone/iPod",736,414,4.7938,705,"Yes"
"706",0,"all","with","leones","four","every",0.94,3,"one_slider","Español",2,"39","Male",3,"","SpanSpan","","no","","both8","mostlive","span","native","Chrome","Linux",732,412,4.36085,706,"Yes"
"708",0,"many","without","leones","two","every",0,3,"one_slider","Español",1,"21","Male",2,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Firefox","Windows",768,1366,1.94988333333333,708,"Yes"
"710",0,"many","with","mariposas","four","every",0.96,3,"one_slider","Español",1,"47","Female",4,"Estaba escrito mal el español, estaba escrito como traducido por google translate.","SpanSpan","none","noclasses","nocollege","both8","mostlive","spaneng","native","Chrome","Windows",768,1366,4.13901666666667,710,"Yes"
"714",0,"many","with","leones","two","every",0.05,3,"one_slider","Español",1,"30","Male",3,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,3.10573333333333,714,"Yes"
"721",0,"many","without","dinosaurios","two","every",0.36,3,"one_slider","español",1,"21","Male",2,"está interesante como nos confunde si cambia el orden de las oraciones ","SpanSpan","most","yes","midsem","both8","mostlive","span","native","Safari","Mac",900,1440,5.60356666666667,721,"Confused"
"722",0,"many","with","dinosaurios","two","every",0,3,"one_slider","Español ",2,"19","Female",1,"","SpanSpan","none","no","nocollege","both8","mostlive","spaneng","native","Safari","iPhone/iPod",736,414,3.35835,722,"Yes"
"724",0,"all","without","leones","two","every",0.89,3,"one_slider","Español",1,"42","Female",4,"Para un hispanohablante, la respuesta aparece como mal redactada gramaticalmente, y ahí se genera la posible confusión. Cambiando el orden de las palabras, es obvio que sería 100x100 correcta (no todos compraron...).","SpanSpan","","","","both8","mostlive","spaneng","native","Chrome","Mac",800,1280,4.27135,724,"Yes"
"725",0,"many","with","leones","four","every",0,3,"one_slider","Español",2,"24","Female",3,"Creo que es curiosa la manera en que se plantea la pregunta al final.","SpanSpan","none","noclasses","nocollege","both8","mostlive","span","native","Chrome","Windows",900,1600,3.63053333333333,725,"Yes"
"727",0,"all","with","mariposas","two","every",0.76,3,"one_slider","Español",1,"30","Female",4,"","SpanEng","most","no","onesem","both8","mostlive","spaneng","native","Chrome","Windows",1080,1920,2.65055,727,"Yes"
"729",0,"all","with","leones","two","every",0.68,3,"one_slider","Español",1,"","Female",3,"","SpanEng","most","noclasses","nocollege","both8","mostlive","span","native","Chrome","Linux",780,360,2.81651666666667,729,"Yes"
"730",0,"none","with","ranas","two","every",0,3,"one_slider","Español",1,"21","Female",1,"","SpanSpan","most","yes","nocollege","both8","mostlive","span","advanced","Chrome","Mac",900,1440,17.1622166666667,730,"Yes"
"739",0,"all","without","leones","four","every",0.98,3,"one_slider","Español",1,"44","Female",4,"","SpanSpan","most","noclasses","nocollege","both8","mostlive","span","native","Safari","iPhone/iPod",568,320,4.64773333333333,739,"Yes"
"740",0,"many","without","mariposas","two","every",0.86,3,"one_slider","Español",1,"45","Male",4,"","SpanSpan","","noclasses","nocollege","both8","mostlive","span","native","Firefox","Windows",864,1536,4.0838,740,"Yes"
"742",0,"many","without","dinosaurios","two","every",0.83,3,"one_slider","Español",2,"25","Male",4,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",768,1366,2.29658333333333,742,"Yes"
"745",0,"all","without","mariposas","four","every",0.93,3,"one_slider","Español",2,"33","Female",4,"","SpanSpan","most","no","nocollege","both8","mostlive","spaneng","native","Chrome","Linux",720,360,5.4735,745,"Yes"
"747",0,"all","without","leones","four","every",0.87,3,"one_slider","Español",2,"23","Female",4,"","SpanSpan","most","yes","midsem","both8","mostlive","spaneng","native","Chrome","Linux",640,360,3.55283333333333,747,"Yes"
"749",0,"all","with","ranas","four","every",1,3,"one_slider","español",2,"35","Male",1,"me gusto bastante te hace pensar","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",900,1600,3.21183333333333,749,"Yes"
"750",0,"many","without","dinosaurios","two","every",0,3,"one_slider","España",1,"25","Male",3,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",1080,1920,2.19335,750,"Yes"
"759",0,"none","with","ranas","four","every",0.7,3,"one_slider","Español",1,"25","Female",4,"","SpanSpan","none","no","nocollege","both8","mostlive","span","native","Chrome","Windows",864,1536,2.31275,759,"Yes"
"760",0,"all","with","mariposas","two","every",1,3,"one_slider","Español",1,"27","Female",2,"es algo confuso en el sentido de que las oraciones no están bien hiladas, pero supongo que es la idea.","SpanSpan","most","no","nocollege","both8","mostlive","span","native","Firefox","Windows",768,1366,3.2899,760,"Yes"
